WORK_CATEGORY,ACTIVITY_NAME,STATE_NAME,HOUSE_OF_PARLIAMENT,IDA_NAME,TENURE,MP_NAME,WORK_DESCRIPTION,RECOMMENDATION_DATE,FLAG,CONSTITUENCY_ID,WORK_STAGE,LETTER_NO,SANCTION_AMOUNT,Sno,CONSTITUENCY,WORK_RECOMMENDATION_DTL_ID,TENURE_START_DATE,TENURE_END_DATE,SANCTION_DATE,FILE_STATUS,ATTACH_ID,Total_Amt
Normal/Others,"WS/MP107/2025-2026/184196-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,1,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Sitting MP,Smt. Sumitra Balmik (2022-28),"Drain and CC road construction work from Sanju Ahirwar house towards Rohit Pal house, Maharaja Agrasen Ward, Vijay Nagar, Jabalpur",23-Mar-2025,1,545,Sanction,LN/MP107/2024-2025/101,233000.0,9351,Sitting Rajya Sabha,184196,"Jun 30, 2022 12:00:00 AM","Jun 30, 2028 11:59:59 PM",02-Feb-2026,,,
Normal/Others,"WS/MP195/2025-2026/184216-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,1,BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA),Sitting MP,Shri B.L. Verma (2020-26),Construction of interlocking and drain from Mohar Singh house to  marriage hall,05-May-2025,1,545,Physical Inspection,LN/MP195/2024-2025/63,589995.0,9352,Sitting Rajya Sabha,184216,"Nov 26, 2020 12:00:00 AM","Nov 25, 2026 11:59:59 PM",29-May-2025,True,1867078,
Normal/Others,"WS/MP195/2025-2026/184224-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,1,BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA),Sitting MP,Shri B.L. Verma (2020-26),Construction of interlocking and drain from Nekpur Lodhi Kshatravas Park to Christian Cemetery,05-May-2025,1,545,Physical Inspection,LN/MP195/2024-2025/64,1309800.0,9353,Sitting Rajya Sabha,184224,"Nov 26, 2020 12:00:00 AM","Nov 25, 2026 11:59:59 PM",29-May-2025,True,1867068,
Normal/Others,WS/MP195/2025-2026/184231-Installing community drinking water plants,Uttar Pradesh,1,BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA),Sitting MP,Shri B.L. Verma (2020-26),Water Cooler (Voltas 80x120 ltrs) with water supply connection near Nekpur Lodhi Kshetrawas Park,05-May-2025,1,545,Physical Inspection,LN/MP195/2024-2025/65,277483.0,9354,Sitting Rajya Sabha,184231,"Nov 26, 2020 12:00:00 AM","Nov 25, 2026 11:59:59 PM",29-May-2025,True,1867048,
Normal/Others,"WS/MP107/2025-2026/184259-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,1,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Sitting MP,Smt. Sumitra Balmik (2022-28),"CC road construction work from Raja Jharia ji house towards Prabhat Kesarwani house in Maharaja Agrasen Ward, Vijay Nagar, Jabalpur",23-Mar-2025,1,545,Physical Inspection,LN/MP107/2024-2025/102,223046.0,9355,Sitting Rajya Sabha,184259,"Jun 30, 2022 12:00:00 AM","Jun 30, 2028 11:59:59 PM",27-Oct-2025,True,1986405,
Normal/Others,WS/MP850/2025-2026/184270-Construction of boundary walls of existing public and community buildings,Uttarakhand,1,DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA),Sitting MP,Shri Naresh Bansal (2020-26),laxman chowk police chowki ki bowndary walll ka nirman karya.IA KARYADAI SANSTATHA -NAGAR PALIKA PARISHAD HERBURTPUR,20-Mar-2025,1,545,Sanction,LN/MP850/2024-2025/60,265000.0,9356,Sitting Rajya Sabha,184270,"Nov 26, 2020 12:00:00 AM","Nov 25, 2026 11:59:59 PM",18-Aug-2025,,,
Normal/Others,"WS/MP850/2025-2026/184271-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttarakhand,1,DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA),Sitting MP,Shri Naresh Bansal (2020-26),gram panchayat ghanghol pandit wari mein sanik colony shri thapa ke ghar se shri bhor ke ghar tak cc road nirman karya.IA KARYADAI SANSTATHA -NAGAR PALIKA PARISHAD HERBURTPUR,20-Mar-2025,1,545,Physical Inspection,LN/MP850/2024-2025/60,480000.0,9357,Sitting Rajya Sabha,184271,"Nov 26, 2020 12:00:00 AM","Nov 25, 2026 11:59:59 PM",02-May-2025,True,1642296,
Normal/Others,"WS/MP850/2025-2026/184272-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttarakhand,1,DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA),Sitting MP,Shri Naresh Bansal (2020-26),WARD 1 MAALSI MEIN MUKHYE MARG PAR PETROL PUMP KE NIKAT MALSI GAON KI AUR CC ROAD NIRMAN.IA KARYADAI SANSTATHA -NAGAR PALIKA PARISHAD HERBURTPUR,20-Mar-2025,1,545,Physical Inspection,LN/MP850/2024-2025/60,959000.0,9358,Sitting Rajya Sabha,184272,"Nov 26, 2020 12:00:00 AM","Nov 25, 2026 11:59:59 PM",02-May-2025,True,1549871,
Normal/Others,WS/MP850/2025-2026/184273-Construction of New Building,Uttarakhand,1,DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA),Sitting MP,Shri Naresh Bansal (2020-26),BAR ASSOCIATION VIKASNAGAR KE VADKARI SHED KA NIRMAN.IA KARYADAI SANSTATHA -NAGAR PALIKA PARISHAD HERBURTPUR,20-Mar-2025,1,545,Physical Inspection,LN/MP850/2024-2025/60,913000.0,9359,Sitting Rajya Sabha,184273,"Nov 26, 2020 12:00:00 AM","Nov 25, 2026 11:59:59 PM",02-May-2025,True,1741756,
Normal/Others,WS/MP850/2025-2026/184274-Construction of rooms and halls in school and colleges,Uttarakhand,1,DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA),Sitting MP,Shri Naresh Bansal (2020-26),"BS NEGI MAHILA PRAVIDHIK PRASHIKSHAN SANSTATHAN MEIN HALL KA SHEH KARYA,IA KARYADAI SANSTAHA -NAGAR PALIKA PARISHAD HERBURTPUR",20-Mar-2025,1,545,Physical Inspection,LN/MP850/2024-2025/60,1274000.0,9360,Sitting Rajya Sabha,184274,"Nov 26, 2020 12:00:00 AM","Nov 25, 2026 11:59:59 PM",02-May-2025,True,1671921,
