project_id,ml_anomaly_risk,ml_prediction,ml_decision_score
135573.0,3.5,NORMAL,0.1904
135574.0,22.3,NORMAL,0.1004
135575.0,3.7,NORMAL,0.1895
135576.0,4.1,NORMAL,0.1875
135583.0,20.6,NORMAL,0.1087
135584.0,20.6,NORMAL,0.1087
135585.0,20.6,NORMAL,0.1087
135586.0,20.1,NORMAL,0.1109
135587.0,11.8,NORMAL,0.1505
135588.0,21.5,NORMAL,0.1044
135589.0,22.5,NORMAL,0.0996
135590.0,22.5,NORMAL,0.0996
135591.0,0.1,NORMAL,0.2067
135592.0,21.1,NORMAL,0.106
135593.0,7.5,NORMAL,0.1713
135594.0,21.1,NORMAL,0.1063
135595.0,7.1,NORMAL,0.1732
135596.0,4.2,NORMAL,0.1871
135597.0,22.5,NORMAL,0.0996
135598.0,27.9,NORMAL,0.0733
135599.0,25.9,NORMAL,0.0832
135600.0,7.6,NORMAL,0.1709
135601.0,25.9,NORMAL,0.0832
135602.0,26.9,NORMAL,0.0782
135603.0,16.0,NORMAL,0.1306
135604.0,27.9,NORMAL,0.0733
135639.0,23.3,NORMAL,0.0955
135640.0,3.0,NORMAL,0.1929
135641.0,3.1,NORMAL,0.1924
135642.0,2.4,NORMAL,0.196
135643.0,3.5,NORMAL,0.1906
135645.0,9.8,NORMAL,0.1602
135646.0,10.4,NORMAL,0.1574
135647.0,9.1,NORMAL,0.1634
135648.0,12.5,NORMAL,0.1473
135649.0,8.8,NORMAL,0.1652
135650.0,11.6,NORMAL,0.1516
135651.0,11.6,NORMAL,0.1516
135652.0,13.2,NORMAL,0.1439
135653.0,12.5,NORMAL,0.1476
135654.0,12.7,NORMAL,0.1463
135655.0,9.2,NORMAL,0.1632
135656.0,7.3,NORMAL,0.1722
135658.0,24.8,NORMAL,0.0882
135678.0,2.7,NORMAL,0.1945
135679.0,5.1,NORMAL,0.1829
135680.0,3.9,NORMAL,0.1886
135681.0,4.0,NORMAL,0.1879
135682.0,4.0,NORMAL,0.1879
135683.0,11.8,NORMAL,0.1506
135684.0,26.9,NORMAL,0.0782
135685.0,11.1,NORMAL,0.154
135686.0,14.9,NORMAL,0.136
135687.0,20.6,NORMAL,0.1087
135688.0,40.4,NORMAL,0.0138
135689.0,38.0,NORMAL,0.0249
135690.0,40.4,NORMAL,0.0134
135692.0,40.4,NORMAL,0.0134
135693.0,40.4,NORMAL,0.0134
135694.0,4.2,NORMAL,0.1872
135695.0,10.3,NORMAL,0.1581
135696.0,22.5,NORMAL,0.0996
135697.0,7.2,NORMAL,0.173
135699.0,40.4,NORMAL,0.0134
135700.0,40.4,NORMAL,0.0134
135701.0,31.2,NORMAL,0.0575
135702.0,14.8,NORMAL,0.1362
135703.0,14.5,NORMAL,0.1377
135704.0,15.4,NORMAL,0.1334
135706.0,29.5,NORMAL,0.0657
135707.0,18.2,NORMAL,0.1201
135708.0,16.4,NORMAL,0.1285
135709.0,15.6,NORMAL,0.1324
135710.0,2.7,NORMAL,0.1942
135711.0,7.2,NORMAL,0.1726
135712.0,2.4,NORMAL,0.196
135713.0,9.5,NORMAL,0.1619
135714.0,15.2,NORMAL,0.1346
135715.0,18.2,NORMAL,0.12
135716.0,40.4,NORMAL,0.0134
135717.0,0.1,NORMAL,0.2067
135750.0,8.1,NORMAL,0.1687
135751.0,8.1,NORMAL,0.1687
135752.0,8.1,NORMAL,0.1687
135753.0,8.1,NORMAL,0.1687
135754.0,8.1,NORMAL,0.1687
135755.0,8.1,NORMAL,0.1687
135756.0,8.1,NORMAL,0.1687
135757.0,8.1,NORMAL,0.1687
135758.0,8.1,NORMAL,0.1687
135759.0,25.2,NORMAL,0.0865
135760.0,22.3,NORMAL,0.1002
135770.0,0.7,NORMAL,0.2041
135771.0,0.7,NORMAL,0.2041
135772.0,5.2,NORMAL,0.1823
135773.0,12.2,NORMAL,0.149
135774.0,1.9,NORMAL,0.1981
135791.0,2.4,NORMAL,0.1957
135792.0,3.6,NORMAL,0.1898
135793.0,3.0,NORMAL,0.193
135794.0,35.7,NORMAL,0.0361
135795.0,7.2,NORMAL,0.1725
135796.0,3.3,NORMAL,0.1917
135797.0,1.8,NORMAL,0.1987
135798.0,3.0,NORMAL,0.193
135799.0,3.2,NORMAL,0.192
135800.0,2.4,NORMAL,0.1957
135806.0,9.4,NORMAL,0.162
135807.0,34.0,NORMAL,0.0442
135808.0,21.0,NORMAL,0.1065
135810.0,10.6,NORMAL,0.1565
135811.0,2.6,NORMAL,0.1948
