project_id,cost_deviation,cost_deviation_pct,expenditure_ratio,rec_san_ratio,sanction_delay_days,completion_duration_days,project_age_days,spending_velocity,velocity_ratio,payment_frequency,payment_concentration,vendor_constituency_count,category_cost_ratio,expenditure_spread_days
176446.0,0.0,0.0,1.0,1.0,56.0,195.0,480.0,208.33333333333334,0.3275,1.0,1.0,40,0.2631578947368421,0.0
176447.0,0.0,0.0,1.0,1.0,56.0,108.0,480.0,625.0,0.9825,1.0,1.0,40,0.7894736842105263,0.0
176448.0,0.0,0.0,1.0,1.0,65.0,455.0,494.0,809.7165991902834,1.0040536032639678,4.0,0.6565275,1,1.0526315789473684,0.0
176450.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,330.9092627599244,0.5868675227643713,2.0,0.7596643263963073,99,0.46066052631578946,120.0
176451.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,329.9054820415879,0.585087317826451,2.0,0.7619757047902819,99,0.4592631578947368,120.0
176452.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,331.92627599243855,0.5886711955639966,2.0,0.7573367352168986,99,0.46207631578947367,120.0
176453.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,329.88090737240077,0.5850437346547128,2.0,0.7620324686115744,86,0.45922894736842107,70.0
176454.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,331.94328922495276,0.5887013685290462,2.0,0.757297919110696,99,0.4621,120.0
176455.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,330.875236294896,0.5868071768342722,2.0,0.7597424485668417,99,0.46061315789473684,120.0
176456.0,0.0,0.0,1.0,1.0,30.0,299.0,529.0,333.9640831758034,0.5922852462665918,2.0,0.752715560914036,99,0.46491315789473686,120.0
176457.0,0.0,0.0,1.0,1.0,30.0,299.0,529.0,332.9054820415879,0.5904078173301788,2.0,0.7551091098025632,99,0.4634394736842105,120.0
176458.0,0.0,0.0,1.0,1.0,30.0,299.0,529.0,331.89035916824196,0.5886074970822255,2.0,0.7574186933986444,99,0.4620263157894737,120.0
176459.0,0.0,0.0,1.0,1.0,30.0,299.0,529.0,333.9905482041588,0.5923321819900023,2.0,0.7526559165954461,99,0.46495,120.0
176461.0,0.0,0.0,1.0,1.0,34.0,322.0,525.0,190.15428571428572,0.23579249324818052,1.0,1.0,1,0.2627131578947368,0.0
176463.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176464.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
