project_id,rule_risk,ml_anomaly_risk,duplicate_risk,agency_risk,risk_score,risk_category,data_quality_score,evidence_count,confidence,top_reasons
133961.0,0.0,5.6,0.0,0.0,1.7,LOW,85.0,1,HIGH,No significant risk indicators detected
133962.0,0.0,5.6,0.0,0.0,1.7,LOW,85.0,1,HIGH,No significant risk indicators detected
133963.0,0.0,5.6,0.0,0.0,1.7,LOW,85.0,1,HIGH,No significant risk indicators detected
133964.0,0.0,12.0,76.1,0.0,18.8,LOW,85.0,2,HIGH,Highly similar work description detected in same constituency
133965.0,0.0,5.6,0.0,0.0,1.7,LOW,85.0,1,HIGH,No significant risk indicators detected
133966.0,0.0,5.6,0.0,0.0,1.7,LOW,85.0,1,HIGH,No significant risk indicators detected
133967.0,0.0,5.6,0.0,0.0,1.7,LOW,85.0,1,HIGH,No significant risk indicators detected
133968.0,0.0,5.6,0.0,0.0,1.7,LOW,85.0,1,HIGH,No significant risk indicators detected
133969.0,0.0,5.6,0.0,0.0,1.7,LOW,85.0,1,HIGH,No significant risk indicators detected
133970.0,0.0,5.6,0.0,0.0,1.7,LOW,85.0,1,HIGH,No significant risk indicators detected
133971.0,0.0,3.9,0.0,0.0,1.2,LOW,85.0,1,HIGH,No significant risk indicators detected
133973.0,0.0,9.0,0.0,0.0,2.7,LOW,85.0,1,HIGH,No significant risk indicators detected
133975.0,0.0,9.0,0.0,0.0,2.7,LOW,85.0,1,HIGH,No significant risk indicators detected
133976.0,0.0,9.0,0.0,0.0,2.7,LOW,85.0,1,HIGH,No significant risk indicators detected
134022.0,0.0,9.7,0.0,0.0,2.9,LOW,85.0,1,HIGH,No significant risk indicators detected
134023.0,0.0,9.7,0.0,0.0,2.9,LOW,85.0,1,HIGH,No significant risk indicators detected
134024.0,0.0,9.9,0.0,0.0,3.0,LOW,85.0,1,HIGH,No significant risk indicators detected
134025.0,0.0,8.3,0.0,0.5,2.6,LOW,85.0,2,HIGH,No significant risk indicators detected
134026.0,0.0,9.7,0.0,0.5,3.0,LOW,85.0,2,HIGH,No significant risk indicators detected
134031.0,0.0,24.1,0.0,0.0,7.2,LOW,85.0,1,HIGH,No significant risk indicators detected
134034.0,0.0,32.9,0.0,0.5,10.0,LOW,85.0,2,HIGH,No significant risk indicators detected
134035.0,0.0,40.3,0.0,0.5,12.2,LOW,85.0,2,HIGH,No significant risk indicators detected
134037.0,0.0,40.8,0.0,0.5,12.3,LOW,85.0,2,HIGH,No significant risk indicators detected
134038.0,0.0,28.3,0.0,0.5,8.6,LOW,85.0,2,HIGH,No significant risk indicators detected
134039.0,0.0,6.8,0.0,0.5,2.1,LOW,85.0,2,HIGH,No significant risk indicators detected
134041.0,0.0,11.3,0.0,0.5,3.5,LOW,85.0,2,HIGH,No significant risk indicators detected
134091.0,0.0,4.8,0.0,2.8,2.0,LOW,85.0,2,HIGH,No significant risk indicators detected
134092.0,0.0,17.6,0.0,2.8,5.8,LOW,85.0,2,HIGH,No significant risk indicators detected
134093.0,0.0,4.3,0.0,2.8,1.8,LOW,85.0,2,HIGH,No significant risk indicators detected
134094.0,0.0,17.4,0.0,2.8,5.8,LOW,85.0,2,HIGH,No significant risk indicators detected
134095.0,0.0,12.6,0.0,2.8,4.3,LOW,85.0,2,HIGH,No significant risk indicators detected
134096.0,0.0,17.6,0.0,2.8,5.8,LOW,85.0,2,HIGH,No significant risk indicators detected
134100.0,0.0,8.9,0.0,2.8,3.2,LOW,85.0,2,HIGH,No significant risk indicators detected
134101.0,57.1,1.3,0.0,2.8,18.1,LOW,70.0,3,MODERATE,Compliance rule violation detected
134102.0,0.0,11.9,0.0,2.8,4.1,LOW,85.0,2,HIGH,No significant risk indicators detected
134103.0,0.0,19.1,0.0,2.8,6.3,LOW,85.0,2,HIGH,No significant risk indicators detected
134104.0,0.0,10.3,0.0,2.8,3.6,LOW,85.0,2,HIGH,No significant risk indicators detected
134105.0,57.1,1.9,0.0,2.8,18.3,LOW,70.0,3,MODERATE,Compliance rule violation detected
134106.0,0.0,8.5,0.0,2.8,3.1,LOW,85.0,2,HIGH,No significant risk indicators detected
134107.0,57.1,12.3,0.0,2.8,21.4,LOW,70.0,3,MODERATE,Compliance rule violation detected
134123.0,0.0,43.5,0.0,4.7,14.0,LOW,85.0,2,HIGH,No significant risk indicators detected
134136.0,0.0,12.7,0.0,4.7,4.8,LOW,85.0,2,HIGH,No significant risk indicators detected
134137.0,0.0,3.9,0.0,4.7,2.1,LOW,85.0,2,HIGH,No significant risk indicators detected
134140.0,0.0,9.9,0.0,4.7,3.9,LOW,85.0,2,HIGH,No significant risk indicators detected
134143.0,0.0,15.7,0.0,4.7,5.6,LOW,85.0,2,HIGH,No significant risk indicators detected
134144.0,0.0,9.6,0.0,4.7,3.8,LOW,85.0,2,HIGH,No significant risk indicators detected
134145.0,0.0,10.5,0.0,4.7,4.1,LOW,85.0,2,HIGH,No significant risk indicators detected
134222.0,0.0,20.5,0.0,0.0,6.1,LOW,85.0,1,HIGH,No significant risk indicators detected
134223.0,0.0,20.9,0.0,0.0,6.3,LOW,85.0,1,HIGH,No significant risk indicators detected
134224.0,0.0,20.5,0.0,0.0,6.1,LOW,85.0,1,HIGH,No significant risk indicators detected
134225.0,0.0,20.9,0.0,0.0,6.3,LOW,85.0,1,HIGH,No significant risk indicators detected
134321.0,0.0,30.3,0.0,1.1,9.3,LOW,85.0,2,HIGH,No significant risk indicators detected
134322.0,0.0,19.9,0.0,1.1,6.2,LOW,85.0,2,HIGH,No significant risk indicators detected
134323.0,0.0,23.0,0.0,1.1,7.1,LOW,85.0,2,HIGH,No significant risk indicators detected
134327.0,0.0,4.0,0.0,3.9,2.0,LOW,85.0,2,HIGH,No significant risk indicators detected
134328.0,0.0,4.0,0.0,3.9,2.0,LOW,85.0,2,HIGH,No significant risk indicators detected
134329.0,0.0,2.6,0.0,3.9,1.6,LOW,85.0,2,HIGH,No significant risk indicators detected
134330.0,0.0,4.0,0.0,3.9,2.0,LOW,85.0,2,HIGH,No significant risk indicators detected
134331.0,0.0,4.0,0.0,3.9,2.0,LOW,85.0,2,HIGH,No significant risk indicators detected
134332.0,0.0,10.7,0.0,3.9,4.0,LOW,85.0,2,HIGH,No significant risk indicators detected
134334.0,0.0,2.7,0.0,3.9,1.6,LOW,85.0,2,HIGH,No significant risk indicators detected
134337.0,0.0,4.0,0.0,3.9,2.0,LOW,85.0,2,HIGH,No significant risk indicators detected
134338.0,0.0,1.2,0.0,3.9,1.1,LOW,85.0,2,HIGH,No significant risk indicators detected
134429.0,57.1,9.1,0.0,3.6,20.6,LOW,70.0,3,MODERATE,Compliance rule violation detected
134434.0,0.0,10.9,0.0,6.5,4.6,LOW,85.0,2,HIGH,No significant risk indicators detected
134457.0,0.0,2.0,0.0,1.6,0.9,LOW,85.0,2,HIGH,No significant risk indicators detected
134458.0,0.0,3.0,0.0,1.6,1.2,LOW,85.0,2,HIGH,No significant risk indicators detected
134459.0,0.0,2.0,0.0,1.6,0.9,LOW,85.0,2,HIGH,No significant risk indicators detected
134461.0,0.0,2.0,0.0,1.6,0.9,LOW,85.0,2,HIGH,No significant risk indicators detected
134462.0,0.0,3.4,0.0,1.6,1.3,LOW,85.0,2,HIGH,No significant risk indicators detected
134463.0,0.0,3.2,0.0,1.6,1.3,LOW,85.0,2,HIGH,No significant risk indicators detected
134479.0,57.1,2.3,0.0,1.1,18.0,LOW,70.0,3,MODERATE,Compliance rule violation detected
134588.0,57.1,10.3,0.0,2.5,20.7,LOW,70.0,3,MODERATE,Compliance rule violation detected
134589.0,0.0,13.2,0.0,2.5,4.5,LOW,85.0,2,HIGH,No significant risk indicators detected
134591.0,0.0,23.2,0.0,2.5,7.5,LOW,70.0,2,MODERATE,No significant risk indicators detected
134629.0,0.0,18.0,0.0,0.0,5.4,LOW,85.0,1,HIGH,No significant risk indicators detected
134630.0,0.0,19.7,0.0,0.0,5.9,LOW,85.0,1,HIGH,No significant risk indicators detected
134631.0,0.0,17.1,0.0,0.0,5.1,LOW,85.0,1,HIGH,No significant risk indicators detected
134632.0,0.0,19.1,0.0,0.0,5.7,LOW,85.0,1,HIGH,No significant risk indicators detected
134633.0,0.0,19.4,0.0,0.0,5.8,LOW,85.0,1,HIGH,No significant risk indicators detected
134638.0,0.0,24.6,0.0,0.0,7.4,LOW,85.0,1,HIGH,No significant risk indicators detected
134644.0,0.0,19.3,0.0,0.0,5.8,LOW,85.0,1,HIGH,No significant risk indicators detected
134646.0,0.0,27.8,0.0,0.0,8.3,LOW,85.0,1,HIGH,No significant risk indicators detected
134649.0,0.0,32.8,0.0,0.0,9.8,LOW,85.0,1,HIGH,No significant risk indicators detected
134655.0,0.0,18.0,0.0,0.0,5.4,LOW,85.0,1,HIGH,No significant risk indicators detected
134658.0,0.0,19.1,0.0,0.0,5.7,LOW,85.0,1,HIGH,No significant risk indicators detected
134660.0,0.0,35.3,0.0,0.0,10.6,LOW,85.0,1,HIGH,No significant risk indicators detected
134661.0,0.0,18.9,0.0,0.0,5.7,LOW,85.0,1,HIGH,No significant risk indicators detected
134665.0,0.0,35.7,0.0,0.0,10.7,LOW,85.0,1,HIGH,No significant risk indicators detected
134666.0,0.0,20.1,0.0,0.0,6.0,LOW,85.0,1,HIGH,No significant risk indicators detected
134667.0,0.0,43.7,0.0,0.0,13.1,LOW,85.0,1,HIGH,No significant risk indicators detected
134668.0,0.0,25.3,0.0,0.0,7.6,LOW,85.0,1,HIGH,No significant risk indicators detected
134670.0,0.0,18.0,0.0,0.0,5.4,LOW,85.0,1,HIGH,No significant risk indicators detected
134671.0,0.0,19.1,0.0,0.0,5.7,LOW,85.0,1,HIGH,No significant risk indicators detected
134672.0,0.0,21.7,0.0,0.0,6.5,LOW,85.0,1,HIGH,No significant risk indicators detected
134673.0,0.0,16.8,0.0,0.0,5.0,LOW,85.0,1,HIGH,No significant risk indicators detected
134674.0,0.0,20.7,0.0,0.0,6.2,LOW,85.0,1,HIGH,No significant risk indicators detected
134677.0,0.0,14.8,0.0,0.4,4.5,LOW,85.0,2,HIGH,No significant risk indicators detected
134680.0,0.0,14.8,0.0,0.4,4.5,LOW,85.0,2,HIGH,No significant risk indicators detected
134684.0,0.0,9.6,0.0,0.4,3.0,LOW,85.0,2,HIGH,No significant risk indicators detected
134687.0,0.0,6.2,0.0,0.4,1.9,LOW,85.0,2,HIGH,No significant risk indicators detected
134688.0,0.0,6.2,0.0,0.4,1.9,LOW,85.0,2,HIGH,No significant risk indicators detected
134689.0,0.0,6.2,0.0,0.4,1.9,LOW,85.0,2,HIGH,No significant risk indicators detected
134699.0,0.0,21.0,0.0,0.6,6.4,LOW,85.0,2,HIGH,No significant risk indicators detected
134700.0,0.0,2.9,0.0,0.6,1.0,LOW,55.0,2,MODERATE,No significant risk indicators detected
134701.0,0.0,2.8,0.0,0.6,1.0,LOW,55.0,2,MODERATE,No significant risk indicators detected
134702.0,0.0,7.0,0.0,0.6,2.2,LOW,85.0,2,HIGH,No significant risk indicators detected
134703.0,0.0,2.0,0.0,2.9,1.2,LOW,85.0,2,HIGH,No significant risk indicators detected
134707.0,0.0,24.4,0.0,0.0,7.3,LOW,85.0,1,HIGH,No significant risk indicators detected
134708.0,0.0,19.6,0.0,0.0,5.9,LOW,85.0,1,HIGH,No significant risk indicators detected
134709.0,0.0,19.6,0.0,0.0,5.9,LOW,85.0,1,HIGH,No significant risk indicators detected
134710.0,0.0,19.4,0.0,0.0,5.8,LOW,85.0,1,HIGH,No significant risk indicators detected
134711.0,0.0,19.4,0.0,0.0,5.8,LOW,85.0,1,HIGH,No significant risk indicators detected
134736.0,0.0,37.8,0.0,6.5,12.6,LOW,85.0,2,HIGH,No significant risk indicators detected
134737.0,0.0,14.5,0.0,6.2,5.6,LOW,85.0,2,HIGH,No significant risk indicators detected
134738.0,0.0,1.6,0.0,1.4,0.8,LOW,55.0,2,MODERATE,No significant risk indicators detected
134739.0,0.0,26.6,0.0,6.5,9.3,LOW,85.0,2,HIGH,No significant risk indicators detected
134740.0,0.0,35.0,0.0,1.4,10.8,LOW,85.0,2,HIGH,No significant risk indicators detected
134741.0,57.1,0.8,0.0,6.5,18.7,LOW,70.0,3,MODERATE,Compliance rule violation detected
134742.0,57.1,5.9,0.0,6.5,20.2,LOW,70.0,3,MODERATE,Compliance rule violation detected
134780.0,0.0,22.6,0.0,3.9,7.6,LOW,85.0,2,HIGH,No significant risk indicators detected
134781.0,0.0,22.6,0.0,3.9,7.6,LOW,85.0,2,HIGH,No significant risk indicators detected
134782.0,0.0,22.6,0.0,3.9,7.6,LOW,85.0,2,HIGH,No significant risk indicators detected
134783.0,0.0,22.6,0.0,3.9,7.6,LOW,85.0,2,HIGH,No significant risk indicators detected
134784.0,0.0,22.6,0.0,3.9,7.6,LOW,85.0,2,HIGH,No significant risk indicators detected
134785.0,0.0,23.0,0.0,3.9,7.7,LOW,85.0,2,HIGH,No significant risk indicators detected
134786.0,0.0,23.0,0.0,3.9,7.7,LOW,85.0,2,HIGH,No significant risk indicators detected
134787.0,0.0,23.0,0.0,3.9,7.7,LOW,85.0,2,HIGH,No significant risk indicators detected
134788.0,0.0,23.0,0.0,3.9,7.7,LOW,85.0,2,HIGH,No significant risk indicators detected
134789.0,0.0,23.0,0.0,3.9,7.7,LOW,85.0,2,HIGH,No significant risk indicators detected
134790.0,0.0,22.2,0.0,3.9,7.4,LOW,85.0,2,HIGH,No significant risk indicators detected
134791.0,0.0,7.5,0.0,3.9,3.0,LOW,85.0,2,HIGH,No significant risk indicators detected
134792.0,0.0,22.2,0.0,3.9,7.4,LOW,85.0,2,HIGH,No significant risk indicators detected
134793.0,0.0,22.2,0.0,3.9,7.4,LOW,85.0,2,HIGH,No significant risk indicators detected
134797.0,0.0,8.6,0.0,4.3,3.4,LOW,85.0,2,HIGH,No significant risk indicators detected
134798.0,0.0,3.3,0.0,4.3,1.8,LOW,85.0,2,HIGH,No significant risk indicators detected
134799.0,0.0,20.9,0.0,4.3,7.1,LOW,85.0,2,HIGH,No significant risk indicators detected
134800.0,0.0,7.6,0.0,4.3,3.1,LOW,85.0,2,HIGH,No significant risk indicators detected
134801.0,0.0,6.3,0.0,4.3,2.8,LOW,85.0,2,HIGH,No significant risk indicators detected
